# File: AEO_2022_HDDCDD.csv
# Title: AEO 2022 Heating Degree Days and Cooling Degree Days
# Units: degree days
# Comments: Heating degree day and cooling degree day assumptions consistent with AEO 2022
# Source: AEO 2022 Reference Case Table 4
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
subregion9,variable,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
New England,HDD,5935,6115,5564,6428,6677,6521,5929,6037,6326,6535,5958,6244,6198,6187,6176,6165,6153,6142,6130,6118,6107,6095,6083,6071,6059,6048,6036,6024,6012,6000,5988,5976,5964,5952,5940,5929,5917,5905,5893,5881,5869
Atlantic-N,HDD,5555,5485,4973,5842,6207,5777,5353,5332,5784,5749,5371,5595,5569,5558,5548,5538,5528,5517,5507,5497,5487,5477,5467,5457,5446,5436,5426,5416,5406,5396,5386,5376,5366,5355,5345,5335,5325,5315,5305,5295,5285
Central-NE,HDD,6187,6174,5357,6622,7195,6166,5701,5683,6433,6430,6000,6217,6172,6167,6163,6159,6155,6151,6147,6143,6138,6134,6130,6126,6122,6118,6114,6109,6105,6101,6097,6093,6089,6084,6080,6076,6072,6068,6064,6059,6055
Central-NW,HDD,6565,6566,5516,7135,7304,6088,5786,5997,6968,7068,6410,6529,6490,6489,6487,6485,6483,6481,6479,6477,6474,6472,6470,6467,6465,6462,6459,6457,6454,6451,6449,6446,6443,6440,6437,6434,6431,6428,6426,6423,6420
Atlantic-S,HDD,3161,2560,2300,2730,2953,2487,2456,2231,2627,2383,2335,2486,2520,2511,2503,2495,2487,2479,2471,2463,2455,2448,2440,2432,2424,2417,2409,2401,2393,2385,2378,2370,2362,2355,2347,2339,2332,2324,2316,2309,2301
Central-SE,HDD,3949,3344,2877,3649,3933,3222,3094,2835,3479,3181,3119,3304,3319,3314,3310,3306,3302,3297,3293,3288,3284,3280,3275,3271,3266,3262,3257,3252,3248,3243,3238,3234,3229,3224,3220,3215,3210,3206,3201,3196,3191
Central-SW,HDD,2450,2114,1651,2326,2423,2087,1752,1582,2252,2145,1829,1910,2015,2009,2004,1999,1994,1988,1983,1978,1973,1967,1962,1957,1952,1947,1942,1937,1932,1927,1922,1917,1912,1907,1902,1897,1892,1887,1882,1877,1873
Mountain,HDD,5084,5323,4575,5274,4744,4600,4619,4568,4803,5303,4810,4802,4793,4780,4768,4755,4742,4730,4717,4704,4691,4678,4664,4651,4638,4624,4611,4597,4584,4570,4557,4543,4530,4517,4503,4490,4476,4463,4450,4436,4423
Pacific,HDD,3625,3821,3415,3365,2776,2900,3031,3187,3170,3539,3335,3363,3253,3243,3232,3222,3212,3201,3191,3180,3169,3159,3148,3137,3126,3116,3105,3094,3083,3072,3061,3050,3039,3028,3017,3005,2994,2983,2972,2961,2950
USA,HDD,4465,4315,3772,4469,4639,4221,4181,4165,4150,4134,4119,4072,4182,4035,4018,4002,3985,3969,3953,3937,3920,3904,3887,3871,3855,3838,3822,3805,3789,3773,3757,3740,3724,3707,3691,3675,3658,3642,3626,3610,3594
