# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccin
# ----------
state,sector,fuel,service,technology,year,share
Alabama,resid,electricity,heating,electric furnace,2015,0.12462242583759252
Alabama,resid,electricity,heating,electric heat pump,2015,0.0864678802818953
Alabama,resid,electricity,cooling,air conditioning,2015,0.2820937442434372
Alabama,resid,electricity,furnace fans,electricity,2015,0.011134927006540979
Alabama,resid,electricity,other,electricity,2015,0.22127979949050408
Alabama,resid,electricity,lighting,fluorescent,2015,0.009798856888696765
Alabama,resid,electricity,lighting,solid state,2015,7.601380275706047e-4
Alabama,resid,electricity,lighting,incandescent,2015,0.04392813203289137
Alabama,resid,electricity,hot water,electric resistance water heater,2015,0.11583321636724388
Alabama,resid,electricity,refrigerators,refrigerator,2015,0.036508764942685824
Alabama,resid,electricity,cooking,electric oven,2015,0.00847938437875979
Alabama,resid,electricity,clothes dryers,clothes dryer,2015,0.029489614105498156
Alabama,resid,electricity,computers,electricity,2015,0.013915920596307214
Alabama,resid,electricity,clothes washers,clothes washer,2015,0.004405484045276258
Alabama,resid,electricity,dishwashers,dishwasher,2015,0.0029293453763328562
Alabama,resid,electricity,freezers,freezer,2015,0.008352366378767281
Alabama,resid,gas,heating,gas furnace,2015,0.7955031892127052
Alabama,resid,gas,hot water,gas water heater,2015,0.1336455916866244
Alabama,resid,gas,cooking,gas oven,2015,0.015330591629559112
Alabama,resid,gas,clothes dryers,clothes dryer,2015,0.0027660434421315585
Alabama,resid,gas,other,gas,2015,0.0527545840289797
Alabama,resid,refined liquids,heating,fuel furnace,2015,0.7682290261527652
Alabama,resid,refined liquids,hot water,fuel water heater,2015,0.10727587189643946
Alabama,resid,refined liquids,other,refined liquids,2015,0.09599564420213619
Alabama,resid,refined liquids,cooking,lpg oven,2015,0.028499457748659113
Alabama,resid,biomass,heating,wood furnace,2015,1
Alabama,comm,electricity,heating,electric heat pump,2015,0.02091133435002439
Alabama,comm,electricity,heating,electric furnace,2015,0.01933355504927733
Alabama,comm,electricity,cooling,air conditioning,2015,0.3337124761738962
Alabama,comm,electricity,hot water,electric heat pump water heater,2015,2.4904680387968466e-4
Alabama,comm,electricity,hot water,electric resistance water heater,2015,0.007080509996245519
Alabama,comm,electricity,ventilation,ventilation,2015,0.10017391809729739
Alabama,comm,electricity,cooking,electric range,2015,0.01871480282679986
Alabama,comm,electricity,lighting,incandescent,2015,0.012566906525336548
Alabama,comm,electricity,lighting,fluorescent,2015,0.10259638401123959
Alabama,comm,electricity,lighting,solid state,2015,0.01210440365547383
Alabama,comm,electricity,refrigeration,refrigeration,2015,0.1453297143369297
Alabama,comm,electricity,office,office equipment,2015,0.11714956516705313
Alabama,comm,electricity,other,electricity,2015,0.11007738300654688
Alabama,comm,gas,heating,gas furnace,2015,0.7071967445527058
Alabama,comm,gas,cooling,gas cooling,2015,0.026845793212747295
Alabama,comm,gas,hot water,gas water heater,2015,0.16352963139939286
Alabama,comm,gas,cooking,gas range,2015,0.10242783083515405
Alabama,comm,refined liquids,heating,fuel furnace,2015,0.9961821625616479
Alabama,comm,refined liquids,hot water,fuel water heater,2015,0.003817837438352008
Arizona,resid,electricity,heating,electric furnace,2015,0.08558598661815232
Arizona,resid,electricity,heating,electric heat pump,2015,0.03032948164487635
Arizona,resid,electricity,cooling,air conditioning,2015,0.2595122508945868
Arizona,resid,electricity,furnace fans,electricity,2015,0.017849375099174752
Arizona,resid,electricity,other,electricity,2015,0.3050653759208664
Arizona,resid,electricity,lighting,fluorescent,2015,0.01474835669180745
Arizona,resid,electricity,lighting,solid state,2015,0.0011441583386201711
Arizona,resid,electricity,lighting,incandescent,2015,0.06612096130816723
Arizona,resid,electricity,hot water,electric resistance water heater,2015,0.06773274222680634
Arizona,resid,electricity,refrigerators,refrigerator,2015,0.05768184369860216
Arizona,resid,electricity,cooking,electric oven,2015,0.009361668050536938
Arizona,resid,electricity,clothes dryers,clothes dryer,2015,0.03569454792411774
Arizona,resid,electricity,computers,electricity,2015,0.023498128289419763
Arizona,resid,electricity,clothes washers,clothes washer,2015,0.006510310166671613
Arizona,resid,electricity,dishwashers,dishwasher,2015,0.004833150492670219
Arizona,resid,electricity,freezers,freezer,2015,0.014331662634923756
Arizona,resid,gas,heating,gas furnace,2015,0.758690179508286
Arizona,resid,gas,hot water,gas water heater,2015,0.1838884737886819
Arizona,resid,gas,cooking,gas oven,2015,0.01210679978079874
Arizona,resid,gas,clothes dryers,clothes dryer,2015,0.0046887830731364094
Arizona,resid,gas,other,gas,2015,0.04062576384909704
Arizona,resid,refined liquids,heating,fuel furnace,2015,0.6533865240620207
Arizona,resid,refined liquids,hot water,fuel water heater,2015,0.18506948270048573
Arizona,resid,refined liquids,other,refined liquids,2015,0.1349783093670992
Arizona,resid,refined liquids,cooking,lpg oven,2015,0.026565683870394312
Arizona,resid,biomass,heating,wood furnace,2015,1
Arizona,comm,electricity,heating,electric heat pump,2015,0.028097294038657926
Arizona,comm,electricity,heating,electric furnace,2015,0.026639728754817623
Arizona,comm,electricity,cooling,air conditioning,2015,0.2165371820944641
